Molecule_ChEMBL_IDs,Class,BCUTc-1l,BCUTi-1h,BCUTv-1h,PEOE_VSA2,BCUTi-1l,BCUTZ-1h,BCUTs-1l,SlogP_VSA5,Xch-6dv,BCUTd-1h,BCUTZ-1l,SMR_VSA3,Xc-5d,BCUTs-1h,BCUTp-1l,BCUTpe-1l,EState_VSA1,EState_VSA6,piPC9,BCUTdv-1l,BCUTare-1l,Xch-7dv,Xch-6d,ATSC1i
CHEMBL4073227,0,-0.502304187,13.65145399,20.86225109,4.794537184,10.97933399,8.03899817,1.366243177,49.22817536,0.014731391,3.253656633,5.71794375,0.0,0.23570226,7.009366217,0.720629625,2.259893229,5.625586319,0.0,3.960217754,0.987144348,2.21136625,0.030384506,0.055555556,-1.389746266
CHEMBL592967,0,-0.488697832,13.64293331,20.89910031,4.794537184,10.94649106,8.029016462,1.246862968,62.67953631,0.041666667,3.250308769,5.685966885,0.0,0.189678531,7.008272644,0.74148298,2.234398357,0.0,6.066367068,5.579140029,0.987938065,2.184675209,0.091074783,0.111111111,2.874767708
CHEMBL4063015,0,-0.503232628,13.65122268,20.86181714,0.0,10.98018563,8.038778256,1.337955957,44.43363818,0.014731391,3.235583552,5.718928373,0.0,0.19245009,7.008281981,0.720630012,2.261775121,0.0,6.066367068,3.960217754,0.987143983,2.213095816,0.033435477,0.055555556,-1.511884253
CHEMBL269138,0,-0.502309423,13.6514654,20.86317585,4.794537184,10.9793418,8.039011989,1.317304207,100.5947483,0.014731391,3.253696675,5.717951578,0.0,0.23570226,7.009369507,0.720622187,2.259900853,5.625586319,0.0,5.156717799,0.98714361,2.211373951,0.030384506,0.055555556,-1.581677389
CHEMBL577683,0,-0.52936092,14.54022655,24.43422539,10.11132579,10.33809144,16.00200223,0.622304115,10.9373243,0.172115345,3.13524371,5.694209043,5.316788604,0.25,7.008291248,0.741562665,2.242683877,12.01114612,18.87168249,5.238102817,0.6549453,2.192414436,0.208533107,0.219416097,0.817632067
CHEMBL2281929,0,-0.473216421,14.59475189,20.92221753,10.11431827,10.93591312,8.054887607,1.174974023,52.37717509,0.13806234,4.035110984,5.675282562,0.0,1.224275069,8.001939815,0.66920918,2.224300783,33.74220265,36.39820241,7.881819513,0.988937137,2.17449423,0.216368388,0.449764117,16.40486157
CHEMBL4569198,0,-0.524936206,14.7511521,20.90594353,23.82195547,10.94723903,8.028843509,1.155801369,85.3138087,0.289864008,3.226961292,5.68676335,24.54494801,1.03963478,7.010490432,0.743835498,2.235475461,66.49470291,35.14411478,7.107579025,1.808940322,2.185710416,0.310006274,0.920914137,-0.89757798
CHEMBL3116163,0,-0.528621869,17.43070144,26.5238937,4.794537184,10.93816711,35.00041834,1.042557625,30.53782887,0.171737912,4.022111822,5.678322357,4.899909731,0.901160043,8.007391459,0.52697364,2.22686063,11.73975001,24.15209445,7.386587013,0.256010369,2.176668845,0.2597827,0.422725606,-8.836916672
CHEMBL2152635,0,-0.459440924,13.64294919,26.52493429,0.0,10.93867024,35.00142639,1.042657662,11.12690298,0.09188239,3.193410753,5.679462697,0.0,0.469416097,7.008273895,0.741434323,2.2274208,5.969305288,36.40785545,7.10239647,0.255073894,2.177037196,0.188903913,0.355904746,5.868190443
CHEMBL1076430,0,-0.528821608,13.63150469,20.90833793,0.0,10.94518938,8.015255938,1.137937657,36.64179526,0.14505752,4.029992262,5.684726536,0.0,0.598164584,6.002809185,0.775240755,2.233577763,5.601050811,26.35232922,7.506505925,0.992329567,2.183781692,0.276832494,0.394614447,-4.865114508
